	Conclusion	Stance	Premise	Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-direction	Stimulation	Tradition	Universalism	Score
2302	We should prohibit school prayer	in favor of	prayer should be not done in school, children are in school to learn	1	0	1	0	0	0	1	0	0	0	6.0
6984	Military training should be made compulsory for all in India	against	Some people do not have enough strength to participate in such intense trainings. They may seem normal from outside but may have mental illnesses. Military trainings can be emotionally and physically daunting for them. In such cases compulsory trainings will be a threat to their life.	1	0	0	0	0	1	0	0	0	0	6.0
1167	We should limit executive compensation	against	in a competitive market companies have to attract the best talent	1	0	0	0	1	0	0	0	0	0	6.0
3004	We should ban telemarketing	in favor of	telemarketing is an invasion of privacy, especially when they call at late hours, during meals and/or repetitively even after asking for the call to stop.	0	0	1	0	0	0	1	0	0	0	6.0
3714	We should limit executive compensation	against	an owner of a company should be allowed to make as much money as possible	1	0	0	0	1	0	0	0	0	0	6.0
2556	We should ban fast food	against	fast food is okay in moderation and doesn't need to get banned	0	0	1	0	0	1	1	0	0	0	6.0
4066	We should abolish the three-strikes laws	against	this law keeps communities safe from career criminals	0	0	0	0	0	1	0	0	0	0	6.0
2471	We should ban the Church of Scientology	against	people are free to practice any religion they want	0	0	0	0	0	0	1	0	1	0	6.0
2762	We should abandon the use of school uniform	against	school uniforms keep school from becoming a fashion show.	0	0	0	0	1	1	0	0	0	0	6.0
2444	We should ban fast food	in favor of	fast food contributed to the obesity problem in the us	0	0	0	0	0	1	0	0	0	0	6.0
3171	We should subsidize space exploration	in favor of	the country needs to be prepared against other countries that use space exploration to advance both offensive and defensive strategies	1	0	0	0	0	1	1	0	0	0	6.0
3866	We should stop the development of autonomous cars	in favor of	they have already shown that they cannot avoid all accidents.	0	0	0	0	0	1	0	0	0	0	6.0
2333	We should abolish intellectual property rights	in favor of	we should abolish intellectual property rights because it discourages new ideas.	1	0	0	0	0	0	1	0	0	0	6.0
6659	We should subsidize vocational education	in favor of	not everyone is suited to work in an office. we also need mechanics and truck drivers and hair dressers etc. by subsidizing voed for these jobs we will be able to continue to teach the hands on employees.	1	0	0	0	0	1	0	0	0	0	6.0
853	We should legalize prostitution	in favor of	When prostitution is illegal, prostitutes are defenseless, and are often harassed and abused.	0	0	0	0	0	1	1	1	0	0	6.0
6854	Homeopathy brings more harm than good	against	many people find symptomatic relief by using homeopathic remedies	0	0	0	0	0	1	1	0	0	0	6.0
4344	We should subsidize student loans	in favor of	due to the obligations of the students it is sometimes difficult to get a job, we must help them pay their loans so that they do not leave school	1	0	0	0	0	1	0	0	0	0	6.0
5085	Rural areas should become more attractive for life and work	in favor of	If rural areas are to become more attractive to live in and work, it is essential to bet on innovation and the creation of quality jobs	1	0	0	0	0	1	1	0	0	0	6.0
5107	Public transport in EU cities should be free	in favor of	I think the EU should subsidies troubled cash-strapped cities to reduce ticket prices or completely remove any charges so that people are vivisected to hop on the bus rather than in the car. As I student, I would have been in the city center a lot more and spent money around the shops if I could afford the bus fair in the first place. 	0	0	0	0	1	1	1	1	0	0	6.0
713	We should adopt atheism	against	people have the freedom to choose any religion, atheism should not be forced upon people	0	0	0	0	0	0	1	0	1	0	6.0
4593	India should store the data within the territorial boundaries of the country	in favor of	While investigating crimes, there will be a need to access the payment data. If the data is stored abroad, it is very difficult to take permission from that country for access to the data. This causes delays in solving crimes. If the data is stored here within our country, this problem will be avoided.	0	0	0	0	0	1	1	0	0	0	6.0
6693	Holocaust denial should be a criminal offence	against	people can choose to believe what they wish.  denying it happened is not a crime.	0	0	0	0	0	0	1	0	0	0	6.0
4579	Technology is making us feel less human	in favor of	We are increasingly depending on technological devices to guide us. For example, we keep reminders on smartphones and google the questions for answers. We are outsourcing the activities that require intelligence to technology. Thinking, remembering things, and analyzing are essential qualities of humans. Too much dependence on technology is making us less human.	1	0	0	0	0	0	1	1	0	0	6.0
2903	We should legalize prostitution	in favor of	women should have the right to decide what to do with their body and that should include being able to sell it.	0	0	0	0	1	0	1	1	0	0	6.0
1172	We should adopt libertarianism	against	we would crumble without services provided to us via the government - roads, fire stations, and more.	0	0	1	0	0	1	0	0	0	0	6.0
602	We should adopt gender-neutral language	in favor of	it would make people who are gender challenged feel better.	0	0	0	0	0	1	0	0	0	0	6.0
2918	We should adopt an austerity regime	in favor of	an auserity program will reduce the national debt.	0	0	1	0	0	1	0	0	0	0	6.0
1315	We should adopt atheism	against	we should not adopt atheism as people have the right to believe the way they want when it come to a higher power.	0	0	0	0	0	0	1	0	1	0	6.0
1667	We should legalize prostitution	against	we should not legalize prostitution because they spread too many deceases so we need to get rid of prostitution	0	0	1	0	0	1	0	0	0	0	6.0
4036	We should end mandatory retirement	in favor of	i agree with you, many people do not want to retire, they want to continue trading, and they are forced to retire	0	0	0	0	0	0	1	0	0	0	6.0
6308	Holocaust denial should be a criminal offence	against	you can not tell a person how they should or should not believe and making holocaust denial a criminal offense is an unnecessary intrusion.	0	0	0	0	0	0	1	0	0	0	6.0
1352	We should ban the use of child actors	against	providing child actors are still taught school subjects and that they are given time to be children then it is good for them and the money earned will give them freedom as adults to do whatever they want	1	0	0	0	1	0	1	1	0	0	6.0
66	We should ban private military companies	in favor of	private military companies could be a danger to our national security because their motives are financial in nature which means they could act in ways that are not in our country's best interest politcally.	0	0	0	0	0	1	0	0	0	0	6.0
6325	We should abandon television	against	we should not abandon television because television is the only form of entertainment for some people	0	0	0	1	0	0	0	1	0	0	6.0
5234	We do not need immigration from non-European or non-first-world countries. 	against	I have no trouble with, non-western, immigrants.  I have trouble with 'mass immigration'.  What happens is when they come in large numbers they do not integrate anymore.  They stick to themselves and become a new tribe that tries to change their host country.'	0	0	0	0	0	1	0	0	1	0	6.0
7305	We should protect our privacy in the Internet age.	in favor of	Most people have to rely on centralized information distribution and dissemination platforms to publish information. It is easy to control the output and control of ideology, social ideas and hotspots.	0	0	0	0	0	1	0	0	0	0	6.0
7088	We should put a cap on personal wealth and annual income	against	Yes, Communism worked great, everywhere they tried. Oh wait...	1	0	0	0	0	0	0	0	0	0	6.0
1814	We should introduce compulsory voting	against	some people just don't have an opinion about who to vote for	0	0	0	0	0	0	1	0	0	0	6.0
1300	We should legalize organ trade	in favor of	Organs, as part of our bodies, are our property and should not be regulated by the government; we should be free to sell them on an open market.	0	0	0	0	1	0	1	0	1	0	6.0
4523	We should ban algorithmic trading	in favor of	algorithmic trading is computer based and does not allow for any type of inspiration in trading.	1	0	0	0	0	0	1	1	0	0	6.0
