	Conclusion	Stance	Premise	Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-direction	Stimulation	Tradition	Universalism	Score
1599	We should abolish safe spaces	in favor of	we should abolish safe spaces because they take up too much room that could be used for more pressing matters.	0	1	1	0	0	0	0	0	0	1	3.0
3384	We should ban factory farming	in favor of	factory farming abuses animals and so should be banned.	0	0	0	0	0	0	0	0	0	1	4.333333333333333
5362	There should be a reform of EU trade and investment policy and a relaunch of global multilateralism	in favor of	Sustainable development and climate change mitigation in EU Trade deals should be examples of best practices of EU policy.	0	0	0	0	0	0	0	0	0	1	4.333333333333333
5823	Assisted suicide should be a criminal offence	in favor of	providing someone the means to kill themselves is equivalent to pulling the trigger yourself	0	1	1	0	0	0	0	0	0	1	3.0
4016	We should adopt a multi-party system	in favor of	there are too many diverse political philosophies to be crammed into 2 parties	0	0	0	0	0	0	0	0	0	1	4.333333333333333
4792	Electric cars are not a solution to air pollution	in favor of	most of the electric power is produced by thermal power plants that burn oil derivatives and by the nuclear industry.  So, until the electric power generation won't be mostly by renewable energies, is basically irrelevant which kind of cars are we using. 	0	0	0	0	0	0	0	0	0	1	4.333333333333333
6477	Social media brings more harm than good	in favor of	it does because fake news can be easily spread around and provide misinformation,	0	1	0	0	0	0	0	0	0	1	3.0
4151	We should adopt gender-neutral language	in favor of	gender neutral language is a way to be more sensitive and politically correct in a modern society with a plurality of genders	0	0	1	0	0	0	0	0	0	1	3.0
7225	We should strengthen Frontex and control immigration	against	Before Frontex is strengthened, Frontex's human rights violations must first be stopped.	0	0	1	0	0	0	0	0	0	1	3.0
1375	We should abolish zoos	against	zoos do so much for the conservation of animals and species that are at risk of being extinct and they should not be abolished.	0	0	0	0	0	0	0	0	0	1	4.333333333333333
1660	We should abolish the Olympic Games	in favor of	there is too much scandal and controversy that comes out every time the olympics come around.	0	1	1	0	0	0	0	0	0	0	3.0
6532	Surrogacy should be banned	in favor of	surrogacy is turning a human life into a commodity and therefore immoral and unethical	0	0	1	0	0	0	0	0	1	1	3.0
326	We should cancel pride parades	against	pride parades are important to understanding others	0	0	0	0	0	0	0	0	0	1	4.333333333333333
6084	Surrogacy should be banned	in favor of	surrogacy turns babies into a commercial product instead of human beings.	0	1	0	0	0	0	0	0	1	1	3.0
6856	Entrapment should be legalized	against	we cannot criminalise people by trapping them in a situation that may never have materialised otherwise	0	1	0	0	0	0	0	0	0	1	3.0
444	We should adopt gender-neutral language	against	we should not adopt gender-neutral language because no reason to change the way people have been speaking for hundreds of years	0	0	0	0	0	0	0	0	1	0	3.0
2501	We should abolish intellectual property rights	in favor of	intellectual property rights don't work.  we see this with piracy websites as well as state actors such as china.  there is no point in holding onto a broken system.	0	0	0	0	0	0	0	0	0	1	4.333333333333333
2748	We should abolish the three-strikes laws	in favor of	if there are 3 minor offenses there is no need to overly punish someone.	0	1	0	0	0	0	0	0	0	1	3.0
659	We should subsidize space exploration	in favor of	we need to subsidize space exploration so we can find somewhere for the human race to go when we finally get done destroying our planet.	0	0	0	0	0	0	0	0	0	1	4.333333333333333
3275	We should subsidize Wikipedia	in favor of	wikipedia is a go to for many people and it should be kept well funded.	0	1	0	0	0	0	0	0	0	1	3.0
3743	We should ban human cloning	in favor of	we should ban human cloning because people were not made to be cloned, we are all unique and individual for a reason.	0	0	0	0	0	0	0	0	1	1	3.0
3898	We should abolish intellectual property rights	in favor of	enforcing property rights is almost impossible when companies in numerous countries do not enforce the rules very well such as china etc so it is easier just to abolish them	0	0	0	0	0	0	0	0	0	1	4.333333333333333
3632	We should adopt gender-neutral language	against	this is just taking things too far. people should not be offended by pronouns.	0	0	1	0	0	0	0	0	1	1	3.0
3852	We should abolish capital punishment	against	"the old saying ""an eye for an eye"" exists for a reason.  if a person commits a horrible act, than swift punishment is not only a good thing but deserved."	0	0	0	0	0	0	0	0	0	1	4.333333333333333
69	We should stop the development of autonomous cars	against	the use of autonomous cars should result in a substantial reduction in road traffic accidents which currently are largely a result of human error.	0	0	0	0	0	0	0	0	0	1	4.333333333333333
3098	We should adopt atheism	against	atheism should not be adopted as it would be offensive to various religious groups.	0	0	1	0	0	0	0	0	1	0	3.0
4134	We should ban factory farming	in favor of	factory farming causes untold unnecessary suffering to animals. they are too crowded, do not have room to move or even breathe properly.	0	0	0	0	0	0	0	0	0	1	4.333333333333333
7292	We should ban the trading of virtual currencies.	in favor of	Virtual currency-related business activities are illegal financial activities, and the provision of services by overseas virtual currency exchanges to Chinese residents through the Internet is also illegal financial activities.	0	0	1	0	0	0	0	0	0	0	3.0
5867	The vow of celibacy should be abandoned	against	the vow of celibacy should not be abandoned because that is part of some religions	0	0	1	0	0	0	0	0	1	0	3.0
103	We should ban human cloning	in favor of	human cloning should be banned because it allows designer humans to be grown according to the parents wishes.	0	0	0	0	0	0	0	0	0	1	4.333333333333333
5679	Blockade of the Gaza Strip should be ended	against	The harm against the citizens of Gaza is justified because those citizens democratically elected Hamas into power, and endorsed the actions of Hamas against Israel.	0	1	0	0	0	0	0	0	0	1	3.0
4762	Donald Trump's Presidency was a good thing	against	Racism &amp; white supremacy has increased in Trump's term.	0	0	0	0	0	0	0	0	0	1	4.333333333333333
3096	We should ban cosmetic surgery for minors	in favor of	minors are not mature enough to make these decisions	0	1	1	0	0	0	0	0	0	1	3.0
3682	We should adopt gender-neutral language	in favor of	gender-neutral language adheres to both sexes without a preference of one gender over the other.	0	0	0	0	0	0	0	0	0	1	4.333333333333333
389	We should legalize cannabis	against	cannabis has never been scientifically proven to help any conditions.	0	0	0	0	0	0	0	0	0	1	4.333333333333333
855	We should subsidize embryonic stem cell research	against	embryonic stem cell research requires the destruction of human embryos and so is considered unethical by many people	0	1	0	0	0	0	0	0	1	0	3.0
6698	We should abandon television	against	television will always exist, sure there's other streaming platforms, but the product is the same. getting rid of traditional tv doesn't solve the problem when the same thing is available online.	0	0	0	0	0	0	0	0	0	1	4.333333333333333
894	We should end mandatory retirement	in favor of	Mandatory retirement is discriminatory on the basis of age, which is an immutable characteristic much like gender or race in that one has no control over it.	0	0	1	0	0	0	0	0	0	1	3.0
7047	We should stop subsidizing mass livestock farms	in favor of	The EU has “beautiful” ideas and is working on legislation for animal welfare and the environment. But as long as EU subsidies still support mass animal farms, all of this is not credible!	0	1	0	0	0	0	0	0	0	1	3.0
6066	The use of public defenders should be mandatory	in favor of	Mandating the use of public defenders ensures a fair trial for all.	0	1	0	0	0	0	0	0	0	1	3.0
210	We should abolish safe spaces	in favor of	safe spaces are for people who don't like to talk about the issues in a civilized manner	0	0	0	0	0	0	0	0	0	1	4.333333333333333
2633	We should ban missionary work	against	missionary work is very helpful to many	0	1	0	0	0	0	0	0	1	0	3.0
4765	Uniforms should be mandatory in schools	in favor of	If the children are used to uniforms, they will no issues in the future if their profession demands uniform.	0	0	1	0	0	0	0	0	0	0	3.0
3394	We should limit executive compensation	in favor of	executive compensation should be limited so that those in power, influential positions in companies do not abuse their power in pursuit of obscene amounts of money.	0	1	1	0	0	0	0	0	0	1	3.0
537	We should adopt a zero-tolerance policy in schools	in favor of	all schools should adopt a zero-tolerance policy as kids need to know they can not act inappropriately at any given moment when in school.	0	0	1	0	0	0	0	0	1	0	3.0
