	Conclusion	Stance	Premise	Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-direction	Stimulation	Tradition	Universalism	Score
6490	Surrogacy should be banned	against	some people want families but cannot because of other issues not have children.  if surrogacy can give people a family with no harm done then why should a law even be considered.	0	1	0	0	0	0	1	0	0	1	3.0
832	We should abandon the use of school uniform	against	the use of school uniforms helps the poorest to attend classes without the problem of lack of clothing	0	0	0	0	0	1	0	0	0	1	3.333333333333333
785	We should adopt a multi-party system	in favor of	A multi-party system would bring in a lot more choice of representation for the people living in the country.	0	0	0	0	1	1	1	0	0	1	3.0
327	We should abolish zoos	in favor of	Zoos are too small and do not provide animals with the space and habitat that they are born to.	0	0	0	0	0	0	0	0	0	1	3.333333333333333
1943	We should limit executive compensation	against	studies have shown that companies that do not limit executive compensation do better and out perform those that do limit. this is better for individual companies and the economy.	1	0	0	0	1	0	0	0	0	1	3.333333333333333
5703	Foster care brings more harm than good	against	couples who cannot have children of their own, are able to love and care for a child	0	1	0	0	0	0	0	1	0	0	3.5
3493	We should subsidize space exploration	against	we shouldn't subsidize space exploration because it can be very costly	0	0	0	0	1	1	0	0	0	0	3.5
2176	We should limit executive compensation	against	without executive compensation talent will be lost to other countries	1	0	0	0	1	0	0	0	0	0	3.5
6748	Surrogacy should be banned	against	Surrogacy is a perfect solution for couples who went through hell trying to conceive with no success.	1	1	0	0	0	1	0	0	0	0	3.5
3414	We should legalize prostitution	in favor of	people have the right to use their bodies in any way they choose.	0	0	0	0	0	0	1	0	0	0	3.0
7092	We should stop hosting migrants from Muslim countries	in favor of	EU leaders continue their naive policy of hosting millions of migrants from Muslim countries without taking into consideration the inability to integrate into society even after many generations,  and the fact that the Muslim diaspora is controlled by their countries of origin, the most flagrant example is the interference of Turkey and its dictator Erdogan in the German elections calling the Turkish diaspora to boycott this election since none of the candidates please him. 	0	0	0	0	0	1	0	0	0	1	3.333333333333333
5043	The president of the European Commission should be elected by the people of the EU	against	In Germany, the President of the Executive is not elected by the people directly either. The reason for this is the horrible experience during the Third Reich. The Parliament - as the only constitutional institution being directly elected - has a stronger stand if the President is not elected directly. However I definitely support, that the Parliament becomes stronger and more influential. 	1	0	0	0	1	0	0	0	0	0	3.5
3985	We should abandon the use of school uniform	in favor of	Some school uniforms are sexist, requiring girls to wear skirts only.	0	0	0	0	0	0	0	0	0	1	3.333333333333333
1005	We should limit executive compensation	in favor of	ceo's should not get paid thousands of times more than their workers	0	0	0	0	1	1	0	0	0	1	3.333333333333333
1780	We should abolish zoos	against	zoos are great educational tools, and it is also a safe place to take care of endangered species.	1	0	0	0	0	0	1	0	0	1	3.0
103	We should ban human cloning	in favor of	human cloning should be banned because it allows designer humans to be grown according to the parents wishes.	0	0	0	0	0	0	0	0	0	1	3.333333333333333
7172	We should support Frontex.	in favor of	 The EU needs a robust Frontex Agency with the caveat that Frontex missions must report to the member states on whose territories they operate.	1	1	0	0	0	0	0	0	0	0	3.5
1630	We should ban telemarketing	against	telemarketing is a form of sales that has been around for years and without it many jobs would be lost.	1	1	0	0	0	1	0	0	0	0	3.5
4983	We don't need immigration from non-European or non-first-world countries. 	in favor of	The country of origin should absolutely be the most important criterion for deciding who we let into our countries. 160 Frenchman would still be alive if we put the welfare of our own above people whose countries the Americans have bombed to shreds.	0	0	0	0	0	1	1	0	0	1	3.0
1356	We should subsidize journalism	in favor of	every journalist should be able to report the news regardless of whether they have the monetary means to do so or not.	1	0	0	0	1	0	1	0	0	1	3.0
7035	Wind and solar energy resources do more harm than good	against	Where energy costs for consumers are high in combination with renewables, it's mostly due to political decisions and market set-up, not due to technical issues. Unfortunately, old-fashioned policies have made things very complicated. Wherever energy cooperations can play their part, things become much easier and more cost-effective. If big companies have to deliver it all alone, things become difficult, complicated, and costly, because their structures make it difficult to provide sophisticated setups for communities of small consumers.	1	0	0	0	0	1	1	0	0	1	3.0
358	We should ban telemarketing	against	telemarketing shouldn't be banned, this is a free country and people have the right to call others and solicit items.	0	0	0	0	0	1	1	0	0	0	3.0
5660	Foster care brings more harm than good	against	sometimes foster care is the safest option for a child. it is far better to remove a child who is being looked after by parents who cannot be trusted not to harm the child.	0	1	0	0	0	1	0	0	0	0	3.5
2017	We should oppose collectivism	against	In a collectivist society, everyone is considerate of each another and provides support to one another.	0	1	0	0	1	1	0	0	0	0	3.5
3610	We should fight for the abolition of nuclear weapons	in favor of	they are dangerous and give countries the power to wipe out each other.	0	1	0	0	0	1	0	0	0	1	3.333333333333333
7301	We should ban the trading of virtual currencies.	against	Every transaction of virtual currency generated in the blockchain technology Internet cannot be forged, and it will not be manipulated by individuals, so it has a good anti-counterfeiting feature.	0	0	0	0	1	0	0	0	0	1	3.333333333333333
7371	Carbon emissions trading should be limited.	in favor of	The national reduction of carbon emissions will pull the transformation of the entire national energy structure.	0	0	0	0	0	1	0	0	0	1	3.333333333333333
5975	Blockade of the Gaza Strip should be ended	in favor of	The blockade is a waste of political and economic capital which could be used for valuable reforms inside of Israel.	0	1	0	0	0	1	0	0	0	1	3.333333333333333
2635	We should introduce compulsory voting	against	it is not right to force people that do not want to participate in voting to do so.	0	0	0	0	0	0	1	0	0	0	3.0
1065	We should ban algorithmic trading	against	algorithmic trading merely enables better decisions in investments utilising technology and intelligence	1	1	0	0	1	0	0	0	0	1	3.333333333333333
4260	We should stop the development of autonomous cars	against	autonomous cars are a thing of the future	1	0	0	0	0	0	0	0	0	0	3.5
5851	Homeschooling should be banned	against	a parent knows best what is good for their kid	0	1	0	0	0	0	1	0	0	0	3.0
6718	Intelligence tests bring more harm than good	in favor of	there are many ways to express and assess intelligence  and that might not always be highlighted in standard IQ tests that focus more on the logical, spatial, and verbal portions of human intelligence	1	0	0	0	0	0	1	0	0	1	3.0
5872	The vow of celibacy should be abandoned	in favor of	I think it's unhealthy for a couple to not have sex until marriage.   It can create tension and cause some people to cheat and have sex with another person.	0	1	0	1	0	1	1	1	0	1	3.0
4490	We should legalize sex selection	in favor of	couples should be able to select the sex of their child since some may only want boys or may want girls.  they may also already have more then one child of a certain sex and want the other sex next time.	0	1	0	0	1	0	1	0	0	0	3.0
4799	Gas and nuclear power should be supported with money from European countries	against	Gas power plants produce CO2. Climate-damaging methane is released during extraction and transport, nuclear power plants produce radioactive waste - a legacy for future generations - not to mention the current danger of release, e.g. through attacks, geological events, or operational accidents due to human or technical errors. 	0	0	0	0	0	1	0	0	0	1	3.333333333333333
4587	We should strengthen laws to fight against terrorism	in favor of	To prevent the violation of human rights, four-stage scrutiny is added. Designating individuals as terrorists is not started by India. The US, European Union, and China also have this provision.	0	1	0	0	1	1	0	0	0	1	3.333333333333333
6298	We should abandon television	against	Television is the gateway for many to news and education as well as entertainment, it still provides a very valuable function.	1	0	0	1	0	0	1	1	0	0	3.0
7372	Carbon emissions trading should be limited.	against	Setting tough standards on carbon emissions can suppress industrial upgrading in developing countries and prevent them from challenging the monopoly advantage of EU countries in high-end industries.	1	0	0	0	1	0	0	0	0	0	3.5
1160	We should ban cosmetic surgery	against	if people believe that they will be happier after cosmetic surgery, they should not be prevented from seeking that happiness	0	0	0	1	0	1	1	1	0	1	3.0
6685	The use of public defenders should be mandatory	in favor of	to protect those who do not understand the law the use of public defenders should be mandatory.	0	1	0	0	0	0	0	0	0	1	3.333333333333333
2572	We should subsidize journalism	in favor of	Journalism is a vital source of real information and news to make sure people are properly informed about the world so subsidizing it would help ensure that it continues without bias.	1	1	0	0	0	0	1	0	0	1	3.0
6613	Intelligence tests bring more harm than good	against	the intelligence tests help to know more about the children's abilities so we can draw better educational strategies for each type of need	1	1	0	0	0	0	0	0	0	1	3.333333333333333
6879	Blockade of the Gaza Strip should be ended	in favor of	the blockade of the gaza strip has gone on way too long and should be ended, this is not the united states fight.	0	1	0	0	1	1	0	0	0	1	3.333333333333333
5559	Foster care brings more harm than good	in favor of	Foster children do not always get proper medical care. Foster kids are covered medically under Medicaid but each year, fewer and fewer healthcare providers accept Medicaid.	0	0	0	0	0	1	0	0	0	0	3.5
3083	We should fight for the abolition of nuclear weapons	against	If any one state were to abolish nuclear weapons, it would immediately become vulnerable to another nuclear power, thus the government should not abolish nuclear weapons in order to fulfill its duty to protect its people.	0	0	0	0	0	1	0	0	0	1	3.333333333333333
389	We should legalize cannabis	against	cannabis has never been scientifically proven to help any conditions.	0	0	0	0	0	0	0	0	0	1	3.333333333333333
6048	Blockade of the Gaza Strip should be ended	against	israel is threatened by terrorists operating in the gaza strip, the blockade is necessary to starve these forces of funds.	0	0	0	0	1	1	0	0	0	1	3.333333333333333
5104	The EU needs a European research center	in favor of	I think the problem in the EU is the incompetence to establish inventions in the market. There are lots of inventions that are made and funded by public EU research facilities brought into the market by small startups. In the end, they are picked like ripe fruits by the US or Chinese companies where the big money is made.	1	0	0	0	1	0	0	0	0	1	3.333333333333333
2646	We should ban cosmetic surgery	in favor of	we should ban cosmetic surgery because the patients might get cancer when it is done over and over again	0	1	0	0	0	1	0	0	0	0	3.5
7041	We should promote the use of nuclear energy	against	Nuclear energy simply is too expensive and hence economically not viable.	0	0	0	0	1	1	0	0	0	0	3.5
5159	People with disabilities should be more represented 	in favor of	The United States is investing an average of more or less 25 million euros per year on health care research for people with Trisomy 21 while the European Union is lagging far behind with only 3 million per year. This huge difference is proof of the lack of political commitment in the European Union and shows how little the EU prioritizes health care and future health care for people with Trisomy 21. 	0	1	0	0	0	1	0	0	0	1	3.333333333333333
44	We should abolish capital punishment	in favor of	capital punishment has been proven ineffective in reducing crime rates.	0	0	0	0	0	0	0	0	0	1	3.333333333333333
4707	India should accept Rohingya refugees	in favor of	Letting the Rohingya go back to the place where they do not get recognition means more loss of human lives, and to a greater extent. The population of the Rohingya is 1.1 million, and if the violence and torture continues on them, then there will be no person left in the community.	0	1	0	0	0	1	0	0	0	1	3.333333333333333
4751	WikiLeaks is not a bane	against	Leakage of sensitive government information.	0	1	0	0	0	1	1	0	0	0	3.0
439	We should abolish zoos	in favor of	zoos force animals into an existence outside of their natural habitat for our viewing pleasure.  it is not right to subject them to such an environment.	0	0	0	0	0	0	0	0	0	1	3.333333333333333
7153	We should stop the European Commission’s Ideological bias toward migration.	in favor of	The European Commission’sportrays migration as an opportunity only, a Fatality that cannot be stopped, and the only solution against aging.	0	1	0	0	0	0	1	0	0	1	3.0
29	We should introduce compulsory voting	in favor of	where compulsory voting exists, in countries like australia, participation rates are the highest in the world. this inevitably leads to more truly representative democracy.	0	0	0	0	0	1	0	0	0	0	3.5
4706	India should accept Rohingya refugees	in favor of	Rohingyas have their own set of ethnicity and culture. By accepting them, we will just be adding more culture to the already-vast culture of India.	0	0	0	0	1	1	0	0	0	1	3.333333333333333
972	We should ban algorithmic trading	against	this helps traders make more informed decisions	1	0	0	0	0	0	0	0	0	1	3.333333333333333
6919	Referendums are good for the society	in favor of	Referendums force governments to do what the people actually want.	1	0	0	0	1	0	1	0	0	0	3.0
4365	We should abolish intellectual property rights	against	if a company created something, we shouldn't just let everybody else copy them	0	0	0	0	0	0	1	0	0	1	3.0
1288	We should ban cosmetic surgery for minors	against	minors should be able to make decisions to have cosmetic surgery if it will help their self-confidence.	1	1	0	0	0	1	1	0	0	0	3.0
1170	We should abolish intellectual property rights	in favor of	ip rights should be abolished as their original use has long since been abandoned in favor of large organisations abusing their legal powers with them.	0	0	0	0	0	1	1	0	0	1	3.0
2878	We should ban algorithmic trading	in favor of	algorithmic trading is unfair because traders with faster computers and better connections to the market will have an advantage over others.	1	0	0	0	1	0	0	0	0	1	3.333333333333333
5351	We need legal ways of migration.	against	Migrants willingly risk their lives.	1	1	0	0	0	0	0	1	0	0	3.5
4536	We should adopt an austerity regime	against	we should not adopt an austerity regime because it will affect the general populations tremendously, severe recession and many other problems	0	0	0	0	1	1	0	0	0	0	3.5
5706	Social media brings more harm than good	against	social media has brought a democratization of media to all those who are able to access it, allowing rapid discemination of news and protest groups to further their causes.	1	0	0	0	1	1	1	0	0	1	3.0
5530	Entrapment should be legalized	in favor of	when a person is entrapped, it is because they pose a danger to the community hence the need for it.	0	0	0	0	0	1	0	0	0	0	3.5
5715	Intelligence tests bring more harm than good	against	intelligence tests can help specify a persons abilities allowing them to develop their skill and knowledge of a specific capability.	1	1	0	0	0	0	1	0	0	1	3.0
342	We should adopt an austerity regime	in favor of	austerity regimes provide an avenue for the government to balance up financial deficits and save the country from economic collapse	0	0	0	0	1	1	0	0	0	0	3.5
5507	Intelligence tests bring more harm than good	against	intelligence tests are there to recognize kids who are smarter and to be given proper chance.	1	0	0	0	0	0	1	0	0	1	3.0
6146	Foster care brings more harm than good	in favor of	children generally do better when kept in their family home with apropriate help and support rather being placed in foster care	0	1	0	0	0	1	0	0	0	0	3.5
5614	Homeschooling should be banned	in favor of	homeschooling can put children at a disadvantage if their parents are not intelligent enough to provide a good education.	1	0	0	0	0	0	0	0	0	1	3.333333333333333
1592	We should ban human cloning	against	human cloning is vital for medical science as it might be able to identify treatments and cures for diseases	0	0	0	0	0	1	0	0	0	1	3.333333333333333
6517	Intelligence tests bring more harm than good	against	intelligence tests provide valuable information about areas of weakness, meaning that the child can benefit from a specially formulated education plan.	1	1	0	0	0	0	0	0	0	0	3.5
2019	We should abolish zoos	against	Breeding programs in zoos are saving many animals from extinction. Without these programs in zoos we would be losing losing many more species from the world.	0	1	0	0	0	0	0	0	0	1	3.333333333333333
3773	We should legalize sex selection	in favor of	for those who have a genetic disorder linked to the sex of the child preventing the birth of a child with a serious illness and to prevent abuse and neglect of or treatment of a child of the unwanted gender.	0	0	0	0	0	1	1	0	0	1	3.0
2758	We should ban fast food	against	in moderation, fast food can be a treat or convenient meal for busy people.  we should allow people to enjoy it.	0	0	0	1	0	1	1	0	0	0	3.0
1603	We should cancel pride parades	against	it sends a valuable message to the lgbt community that they are free and able to celebrate their lives	0	1	0	1	0	1	1	0	0	1	3.0
2963	We should ban human cloning	against	we should allow science to further their research even if it includes human cloning.	1	0	0	0	0	0	1	1	0	1	3.0
3562	We should oppose collectivism	against	collectivism allows for the group mentality and act to provide a better quality of life equal for the people in a collective government.	0	1	0	0	0	1	0	0	0	1	3.333333333333333
1442	We should abolish the Olympic Games	against	we shouldn't get rid of the olympics because it unites countries and gives everyone something in common.	0	0	0	0	0	1	0	0	0	1	3.333333333333333
6001	The use of public defenders should be mandatory	against	if someone wants to defend themselves that is their right	0	0	0	0	0	0	1	0	0	1	3.0
649	We should stop the development of autonomous cars	in favor of	stop the development of autonomous cars because it can cause accidents due to the laws in different countries being different	0	0	0	0	0	0	0	0	0	1	3.333333333333333
787	We should abandon the use of school uniform	in favor of	school uniformlimits a childs ability to express themselves, experiment and develop as a person	1	0	0	0	0	0	1	0	0	1	3.0
2272	We should subsidize space exploration	in favor of	we should subsidize space exploration because we're running out of resources on earth. space is filled with infinite resources. if we're not first, other countries will benefit while we're left behind.	1	0	0	0	0	1	1	0	0	1	3.0
707	We should subsidize Wikipedia	against	it may effect its impartiality, governments  may use their funding to influence editors.	0	0	0	0	0	1	1	0	0	1	3.0
3050	We should ban the use of child actors	against	many child actors go on to being adult actors without any problems.  if anything, perhaps more screening of children before allowing them to go into the profession.	1	1	0	0	0	1	0	0	0	0	3.5
1298	We should subsidize Wikipedia	in favor of	subsidising wikipedia would give it the funds needed to continue this valuable informative tool without needing to beg for funds.	1	1	0	0	0	0	1	0	0	1	3.0
677	We should abolish zoos	against	zoos are a great way teach people about animals and how important they are	0	0	0	0	0	0	1	0	0	1	3.0
4203	We should introduce compulsory voting	against	the penalties on not voting would bring backlash from the society	0	0	0	0	0	1	1	0	0	0	3.0
7148	We should strengthen Frontex and control immigration.	in favor of	Frontex must be given powers and resources to shut down the migratory routes entirely.	1	0	0	0	1	1	0	0	0	0	3.5
2053	We should adopt an austerity regime	against	the poor and less fortunate will always be hurt unfairly by austerity measures	0	0	0	0	0	1	0	0	0	1	3.333333333333333
6982	Military training should be made compulsory for all in India	in favor of	Compulsory military training can also make people stronger physically &amp; emotionally.	0	0	0	0	0	1	0	0	0	0	3.5
5989	Entrapment should be legalized	against	it offers someone who hasn't decided to commit a crime an opportunity to commit one	1	0	0	0	0	1	0	0	0	1	3.333333333333333
83	We should oppose collectivism	in favor of	collectivism prevents original thoughts and discourages people from looking for their own ideas	1	0	0	0	0	0	1	0	0	0	3.0
1147	We should limit executive compensation	in favor of	executive compensation has hit astronomical levels, widening the pay gap between worker and executive, this has the potential to lead to disharmony and possible conflict.	0	1	0	0	0	1	0	0	0	1	3.333333333333333
2047	We should subsidize student loans	in favor of	it is important that student loans are granted, because it helps you increase your quality of life and your economic potential	1	1	0	0	1	1	0	0	0	0	3.5
854	We should adopt libertarianism	in favor of	lower taxes and more freedom from big government would be the result if we adopted libertarianism.	1	0	0	0	1	1	1	0	0	0	3.0
3779	We should end the use of economic sanctions	in favor of	bad actors can circumvent economic sanctions, meaning the people who suffer the most would be average, law-abiding citizens.	1	1	0	0	0	0	0	0	0	1	3.333333333333333
3428	We should subsidize Wikipedia	against	we should not subsidize wikipedia because the information contained in it is not validated. if published information is going to be subsidized then it should be from accredited sources.	1	0	0	0	1	0	0	0	0	0	3.5
3292	We should ban telemarketing	against	telemarking is keeping jobs available for some	1	1	0	0	1	1	1	0	0	0	3.0
4906	The European Union should implement a EU wide carbon tax	in favor of	Yes, but the tax should be progressive per capita. This will ensure that we tax mostly overuse of resources and avoid increasing wealth inequality of the poor.	0	0	0	0	1	1	0	0	0	1	3.333333333333333
