	Conclusion	Stance	Premise	Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-direction	Stimulation	Tradition	Universalism	Score
2556	We should ban fast food	against	fast food is okay in moderation and doesn't need to get banned	0	0	1	0	0	1	1	0	0	0	1.0
999	We should ban telemarketing	in favor of	telemarketing is violative and intrusive. unwanted calls from telemarketers are too much annoying	0	0	1	0	0	1	1	0	0	0	1.0
4390	We should legalize prostitution	against	it should be abolished, not encouraged.	0	0	1	0	0	0	0	0	0	1	1.0
1859	We should abolish the three-strikes laws	against	the three-strikes law is a powerful deterrent that acts as a fixed punishment for people not to develop a life of crime as they are always aware of the power of the law and the fixed penalty.	0	0	1	0	0	1	0	0	0	1	1.0
6022	The vow of celibacy should be abandoned	against	the vow of celibacy removes sexual activity with a view to focusing on a larger purpose - it can be seen as training the mind, and allows otherwise unforeseen advances of thought and discourse.	1	0	1	0	0	0	0	0	1	1	1.0
6474	We should abandon television	in favor of	television is a major reason that childhood obesity exists today.	0	1	1	0	0	1	0	0	0	0	1.0
2896	We should subsidize student loans	against	it isn't the obligation of anyone to assist students with the costs of their education.  if a student wants to get an education they have to realize it comes at a cost and won't be given for free.	0	1	1	0	0	0	1	0	0	1	1.0
2840	We should adopt gender-neutral language	against	gender characteristics are part of a person's identity, by using gender neutral language we invalidate those characteristics	0	0	1	0	0	0	0	0	1	1	1.0
5168	All workers and unemployed should have access to social protection, including young people	in favor of	I agree. Stable, quality jobs and adequate social protection for everyone are necessary.  Trade unions have many proposals to achieve more equal and inclusive labor markets.  This goes hand in hand with policies to promote more equal, sustainable, and inclusive societies.  	1	1	1	0	0	1	0	0	0	1	1.0
6184	Payday loans should be banned	against	Many of the problems with payday loans would be eliminated if there was increased oversight to enforce regulations and proper business practices that are already codified.	0	1	1	0	0	0	0	0	0	1	1.0
3131	We should ban the use of child actors	in favor of	child actors are all too often traumatised or abused so their use should be banned.	0	0	1	0	0	1	0	0	0	1	1.0
4711	Marital rape should be criminalized in India	against	Consensual sex can also be termed as rape if the wife is willing to file a false case. There will be no proof to prove whether it is consensual or not. Punishing men based on the mere words of wives is completely wrong, because of the presumption that women do not lie. Good and bad are not related to gender. There are women criminals too.	0	1	1	0	0	0	0	0	0	1	1.0
7310	We should protect our privacy in the Internet age.	in favor of	Attackers can use their own security-aware enterprise users as a breakthrough to attack from the short end of the barrel, making other enterprise users of the same cloud platform equally dangerous.	0	0	1	0	0	1	0	0	0	0	1.0
6237	Entrapment should be legalized	in favor of	if people are undertaking criminal activities, then entrapment should be allowed so that these criminals can be caught and taken off the streets. It is their choice if they fall for the trap	0	0	1	0	0	1	0	0	0	1	1.0
6520	Assisted suicide should be a criminal offence	in favor of	assisted suicide is murder and should be banned.	0	0	1	0	0	1	0	0	0	1	1.0
3857	We should ban the Church of Scientology	in favor of	the church of scientology should be banned because they espouse a fake science narative and using bullying and terror to keep people quiet.	0	1	1	0	0	0	0	0	0	1	1.0
1511	We should ban telemarketing	in favor of	telemarketing because it upsets people to always have them calling and also they are usually rude	0	1	1	0	0	1	1	0	0	1	1.0
798	We should abolish capital punishment	against	some crimes are so heinous that the only just punishment is the death penalty.	0	0	1	0	0	1	0	0	0	1	1.0
5536	Blockade of the Gaza Strip should be ended	in favor of	The blockade hurts Palestinian civilians that have nothing to do with Hamas and violence against Israel. It is unjust to punish civilians for the actions of terrorists.	0	1	1	0	0	1	1	0	0	1	1.0
5984	Entrapment should be legalized	against	it is a waste of the government's time and resources to prosecute crimes that would not have occurred without its encouragement.	0	1	1	0	0	1	0	0	0	1	1.0
