	Conclusion	Stance	Premise	Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-direction	Stimulation	Tradition	Universalism	Score
1976	We should subsidize student loans	in favor of	Student loan costs are becoming outrageous putting people in debt for life.	0	0	0	0	0	1	0	0	0	0	4.0
2037	We should ban the Church of Scientology	in favor of	churches in general are just cult and should be banned.	0	1	0	0	0	0	1	0	0	1	3.0
5495	Entrapment should be legalized	against	it might lead to innocent people who couldn't resist temptation being prosecuted and sentenced.	0	0	1	0	0	1	0	0	0	1	3.5
7072	We should improve migration policies 	in favor of	Avoiding non-EU countries to stop migrants’ journey to the EU payments to systemic violation of human rights and dignity.	0	0	1	0	0	0	0	0	0	1	3.5
6971	Hindi should be the National language of India	against	Some people are arguing that English is not born in India and hence we should avoid using it. This statement lacks logic because all the technological innovations we are now using were born in different parts of the world. We cannot reject things just because they are not Indian.	0	0	0	0	0	0	0	0	0	1	4.0
9	We should adopt an austerity regime	in favor of	we should adopt an austerity regime because it is unfair to expect future generations to settle the debts that we run up	0	1	0	0	0	1	0	0	0	0	3.5
183	We should subsidize embryonic stem cell research	against	it is against certain religious beliefs and can be seen as immoral	0	0	1	0	0	1	0	0	1	0	3.0
24	We should abolish the right to keep and bear arms	against	we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution.	0	1	1	0	0	0	1	0	0	0	3.0
7358	We should vigorously develop the countryside.	in favor of	The gap between rural and urban areas is getting bigger and bigger, and the result is that the countryside is deserted, a lot of land is barren, and China's arable land is decreasing.	0	0	0	0	0	0	0	0	0	1	4.0
2656	We should end the use of economic sanctions	in favor of	economic sanctions do nothing to those in power and ruin the lives of ordinary citizens instead.	0	1	0	0	0	1	0	0	0	1	3.5
277	We should ban telemarketing	in favor of	telemarketing preys on people who are vulnerable and easily conned, such as the elderly.	0	1	1	0	0	1	0	0	0	0	3.5
3455	We should introduce compulsory voting	against	being forced to do anything inhibits freedom.	0	0	0	0	0	0	1	0	0	0	3.0
87	We should oppose collectivism	in favor of	treating everyone as a large group unit is not helpful for people who have different individual needs.	0	0	0	0	0	0	1	1	0	1	3.0
5997	Payday loans should be banned	against	payday loans help individuals that need quick infusion of money to pay bills	0	1	0	0	1	1	0	0	0	0	3.5
