	Conclusion	Stance	Premise	Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-direction	Stimulation	Tradition	Universalism	Score
4190	We should ban human cloning	in favor of	we should ban human cloning as humans should not play god and it raises a moral issue.	0	0	1	0	0	0	0	0	1	1	6.0
2812	We should subsidize embryonic stem cell research	against	embryonic stem cell research is against god's will and should be stopped.	0	0	1	0	0	0	0	0	1	0	6.0
548	We should abolish the right to keep and bear arms	against	the right to keep and bear arms is one of the tenets of our country	0	0	0	0	0	1	0	0	1	0	6.0
6641	Surrogacy should be banned	against	surrogacy is the only way some couples can have a child of their own.	0	1	0	0	0	0	1	0	0	0	6.0
7340	We should prevent the disorderly expansion of capital.	in favor of	Behind each hawker, there is a family at the grassroots of society to support, so that these vendors survive, to prevent the structural division of society between rich and poor.	0	0	0	0	0	1	0	0	0	1	6.0
6060	Homeschooling should be banned	in favor of	homeschooling leads to unsocial children.	0	0	1	0	0	1	0	1	0	1	6.0
2028	We should end the use of economic sanctions	in favor of	the only ones that suffer with economic sanctions are the regular citizens of the countries.	0	0	0	0	0	1	0	0	0	1	6.0
2310	We should abolish zoos	in favor of	zoos are an outdated and cruel form of entertainment that enslaves captured animals and leaves them in climates they are often not suited to.	0	1	0	0	0	1	0	0	0	1	6.0
1011	We should ban missionary work	against	missionary work helps the less fortunate countries  with aid and hope.	0	1	0	0	0	1	0	0	0	1	6.0
3853	We should fight for the abolition of nuclear weapons	against	nuclear weapons are a form of deterant and are needed	0	0	0	0	0	1	0	0	0	1	6.0
1196	We should abolish capital punishment	against	some threats need to be eliminated for the public good	0	0	0	0	0	1	0	0	0	1	6.0
3939	We should end mandatory retirement	in favor of	Ending mandatory retirement will help reduce the burden of older populations on state pension systems.	0	0	0	0	0	1	0	0	0	0	6.0
208	We should adopt libertarianism	in favor of	libertarianism is the true path to real freedom and autonomy for all	0	0	0	0	0	0	1	0	0	0	6.0
1120	We should ban the Church of Scientology	in favor of	this church has harmed countless people and should be labeled more as a cult	0	1	0	0	0	1	0	0	0	0	6.0
358	We should ban telemarketing	against	telemarketing shouldn't be banned, this is a free country and people have the right to call others and solicit items.	0	0	0	0	0	1	1	0	0	0	6.0
3597	We should subsidize space exploration	in favor of	we need to continue to explore space as it is part of our world.	0	0	0	0	0	0	1	0	0	0	6.0
6966	Human Gene editing is a good thing	in favor of	Some people who believe in modifying the genes believe that it not only increases the span of life but also increases the quality of life.	0	0	0	0	0	1	0	0	0	0	6.0
3966	We should abandon the use of school uniform	in favor of	School uniforms are often sexist, having different requirements for each gender.	0	0	0	0	0	0	1	0	0	1	6.0
1172	We should adopt libertarianism	against	we would crumble without services provided to us via the government - roads, fire stations, and more.	0	0	1	0	0	1	0	0	0	0	6.0
6138	Surrogacy should be banned	in favor of	surrogacy can be dangerous for the surrogate, and can create an emotional bond between birth mother and child that makes it very difficult for the birth mother to surrender the child to the surrogate couple	0	1	0	0	0	1	0	0	1	0	6.0
4213	We should fight for the abolition of nuclear weapons	against	Creating an industry out of nuclear technology also helps create nuclear energy plants, which reduce pollution and increase access to cheap energy.	0	0	0	0	0	1	0	0	0	1	6.0
3950	We should cancel pride parades	against	We should not cancel pride parades simply due to freedom of expression, any group can express themselves.	0	0	0	0	0	0	1	0	0	1	6.0
5797	Holocaust denial should be a criminal offence	against	while the events of the holocaust are awful, questioning whether or not it actually happened shouldn't be punishable by prison time.	0	0	0	0	0	0	1	0	1	1	6.0
3948	We should ban whaling	against	people's jobs depend on whaling, there is a whole industry which would be destroyed if whaling was banned, resulting in hardships for whole communities.	0	0	0	0	0	1	0	0	0	0	6.0
5125	We need family and child protection against political agendas until their adulthood	in favor of	As Europe bears the burden of the XXth century authoritarian regimes (right and left) and saw their children ideologically possessed by fascist and communist governmental propaganda (Hitlerjugend (right) and Pioneer (left) movements), we need to limit the access of the children - as one of the most vulnerable groups of our community - to every political ideology and propagating associations. 	0	1	0	0	0	1	1	0	0	1	6.0
2894	We should ban the Church of Scientology	in favor of	evidence shows the Church of Scientology is a money laundering, corrupt organisation that hides behind its religious status whilst abusing its members.	0	1	1	0	0	1	1	0	0	1	6.0
7208	We should prevent the surveillance state	in favor of	I am not prepared to continue to restrict my freedom on a permanent basis due to the actions of a minority of offenders, as a citizen who is not a victim. The policy has to find a better balance here. 	0	0	0	0	0	0	1	0	0	0	6.0
3081	We should ban missionary work	against	Through faith, missionaries are able to develop deep relationships with the communities they serve and help bring much-needed social change to third-world countries.	0	0	0	0	0	1	0	0	1	0	6.0
6477	Social media brings more harm than good	in favor of	it does because fake news can be easily spread around and provide misinformation,	0	1	0	0	0	0	0	0	0	1	6.0
4036	We should end mandatory retirement	in favor of	i agree with you, many people do not want to retire, they want to continue trading, and they are forced to retire	0	0	0	0	0	0	1	0	0	0	6.0
5393	Foster care brings more harm than good	in favor of	foster care can be horrible for the child when moving from home to home and never settling down in one place.	0	1	0	0	0	1	0	0	0	0	6.0
461	We should ban missionary work	against	Missionary work has helped to civilize entire socities.	0	1	1	0	0	1	0	0	1	0	6.0
2450	We should adopt atheism	against	we shouldn't adopt atheism because it will lead to most hostile arguments against the religious trying to shove their belief down your throat	0	0	1	0	0	1	1	0	0	1	6.0
1946	We should abolish safe spaces	in favor of	safe spaces restrict freedom of expression and should be prohibited	0	0	0	0	0	1	1	0	0	1	6.0
4297	We should abolish safe spaces	in favor of	having safe spaces isolates groups of people instead exposing them	0	0	0	0	0	1	0	0	0	1	6.0
578	We should prohibit school prayer	in favor of	prayer in school should be prohibited because it violates the separation of prayer and state	0	0	1	0	0	0	1	0	1	1	6.0
4513	We should ban telemarketing	against	telemarketing allows consumers to hear information about products they might might not otherwise have the opportunity to learn about.	0	0	0	0	0	0	1	0	0	1	6.0
1170	We should abolish intellectual property rights	in favor of	ip rights should be abolished as their original use has long since been abandoned in favor of large organisations abusing their legal powers with them.	0	0	0	0	0	1	1	0	0	1	6.0
7184	We should increase the role of national parliaments in EU decision-making	in favor of	Parliament and its left-liberal majority have begun to build an independent political-institutional character, based not on citizens’ needs, but on the main pillars of the progressive ideological agenda. This is how the EP has become a forum for discussion on gender and rule of law issues and a pro-migration EU institution. It is clear that the debate on the Future of Europe should also open the question of the future role of the European Parliament. 	0	1	0	0	0	0	0	0	1	1	6.0
571	We should ban the use of child actors	against	if parents agree for their kids to do acting, i can`t see any problem with it.	0	0	0	0	0	0	1	0	0	1	6.0
1593	We should ban factory farming	against	factory farming allows for cheaper meat production costs thus enabling those on low incomes to be able to afford meat.	0	1	0	0	0	1	0	0	0	1	6.0
1348	We should abandon the use of school uniform	against	school uniforms eliminated having to buy numerous outfits, trying to buy close that are in style, which can be expensive, uniforms can save money for other school related needs.	0	0	0	0	0	1	0	0	0	1	6.0
4653	We should subsidize hydrogen vehicles	in favor of	Hydrogen vehicles are much quieter than fossil fuel-based vehicles. So, they can reduce noise pollution too.	0	0	0	0	0	1	0	0	0	1	6.0
4152	We should ban algorithmic trading	in favor of	Algorithmic trading can be manipulated to artificially alter the price by a competitor, harming anyone who uses algorithmic trading.	0	1	0	0	0	0	0	0	0	1	6.0
3507	We should ban whaling	in favor of	we should ban whaling because they are becoming closer to being extinct.  no animal should be killed when there is not an abundance of their species.	0	0	0	0	0	0	0	0	0	1	6.0
2423	We should subsidize embryonic stem cell research	against	embryonic stem cell research are using human eggs to grow in a lab.  these eggs could have been humans.  we are trying to play god and going beyond human rights.	0	0	1	0	0	0	0	0	0	1	6.0
6431	Payday loans should be banned	in favor of	payday loans amount to usury, financially strapped people become overwhelmed by their excess fees.	0	0	0	0	0	1	0	0	0	0	6.0
6507	Blockade of the Gaza Strip should be ended	in favor of	The blockade of the Gaza Strip should be ended because it is collective punishment, which is illegal under international law.	0	0	1	0	0	1	0	0	0	1	6.0
1605	We should adopt a multi-party system	against	a multi party system will lead to the rise of fringe groups that do not represent the will of the people.	0	0	1	0	0	1	0	0	1	0	6.0
2919	We should adopt libertarianism	in favor of	if we just hold up our beliefs, we will find that libertarianism helps us defend our rights as citizens of this country.	0	0	0	0	0	0	1	0	0	1	6.0
5467	Entrapment should be legalized	against	entrapment is wrong because it turns non-criminals into criminals.	0	0	0	0	0	0	0	0	0	1	6.0
4290	We should abolish capital punishment	in favor of	using capital punishment on prisoners is either the same or worse than any crime that they committed to end up there in the first place.	0	1	1	0	0	0	0	0	0	1	6.0
2974	We should adopt libertarianism	against	libertarianism would lessen government control and lead to anarchy.	0	0	1	0	0	1	0	0	0	0	6.0
6979	Temples in India can have Gender-Specific rules	against	In the past, there were restrictions to lower castes in temples. But as we progress these restrictions were eliminated. We should value ethics more than customs.	0	0	0	0	0	1	0	0	0	1	6.0
297	We should adopt a zero-tolerance policy in schools	in favor of	zero-tolerance policies keep schools safer by immediately removing the problem	0	0	1	0	0	1	0	0	0	1	6.0
3110	We should legalize prostitution	against	legalizing prostitution would be the thin end of a wedge - all sorts of unsavoury activities are centered around the sex industry.	0	1	1	0	0	1	0	0	0	1	6.0
6506	Entrapment should be legalized	against	entrapment is deliberately temping others and should be banned.	0	1	1	0	0	0	1	0	0	1	6.0
4771	Rapists should be tortured	in favor of	Criminal will feel the pain of the victim, if he is subjected to the same kind of harassment. Thereby, he may not commit the crime again in his life.	0	0	1	0	0	1	0	0	0	1	6.0
250	We should introduce compulsory voting	in favor of	we should introduce compulsory voting as all citizens need to have their voices heard to make the outcomes of elections more credible and truly representative of the whole population.	0	1	1	0	0	1	0	0	0	1	6.0
6281	Assisted suicide should be a criminal offence	against	to assist a loved one to pass on and be relieved of suffering is a selfless act that should not be criminalised.	0	1	0	0	0	1	1	0	0	1	6.0
207	We should limit judicial activism	in favor of	a judge shouldnt be able to show their personal views.	0	1	1	0	0	0	0	0	0	1	6.0
1152	We should cancel pride parades	in favor of	possibly they cause disruption due to city centre's needing to be shut down for regular traffic.	0	0	1	0	0	1	1	0	1	0	6.0
5704	Blockade of the Gaza Strip should be ended	in favor of	the blockade should come down. it doesn't serve it's intended purpose. it keeps the groups around gaza divided and perpetuates violence in the area.	0	0	0	0	0	1	0	0	0	1	6.0
5875	Homeschooling should be banned	in favor of	homeschooling doesnt get children enough interaction with people so they are more likely to be social outcasts	0	1	0	0	0	1	0	1	0	0	6.0
1481	We should adopt a zero-tolerance policy in schools	against	each case needs to be reviewed independently and punishments then established.	0	1	0	0	0	0	0	0	0	1	6.0
5336	There should be a reform of EU trade and investment policy and a relaunch of global multilateralism	in favor of	We need an investment policy that creates decent jobs and fosters labor rights and especially Trade Unions around the globe. There can not be a sustainable world without collective representation of workers/employees by free Trade Unions. 	0	0	0	0	0	1	0	0	0	1	6.0
4294	We should abolish capital punishment	in favor of	As long as death penalty is kept, this confirms that our society is founded on violence, and that violence and brute force solve. This mindset perpetuates the circle of violence and doesn't allow to escape it.	0	0	0	0	0	1	0	0	0	1	6.0
5210	There should be no immigration from non-European or non-first-world countries 	against	In Conclusion, we should say: 'Europeans go home. Go home, leave every part of the world where we are making business, exploiting cheap labor, rare minerals, selling arms, invading foreign countries and exporting democracy, etc. '	0	1	1	0	0	0	1	0	0	1	6.0
5969	Social media brings more harm than good	in favor of	social media makes bullying easier.	0	0	1	0	0	1	0	0	0	1	6.0
516	We should ban telemarketing	in favor of	telemarketing is annoying for people as they do not request a phone call and vunerable people such as the elderly often feel threatened into taking part.	0	0	1	0	0	1	1	0	0	0	6.0
7027	We should invest in sustainable alternative fuels for aviation	against	biofuel is much nonsense as would require huge areas and resources to be produced.	0	0	0	0	0	1	0	0	0	1	6.0
5509	We should abandon television	in favor of	excessive television watching leads to a sedentary lifestyle and obesity	0	0	0	0	0	1	0	0	0	0	6.0
117	We should abandon the use of school uniform	in favor of	forcing children into wearing school uniforms shows our children that they cannot think as individuals and must conform to societies way of thinking.	0	0	0	0	0	0	1	1	0	0	6.0
3912	We should abolish the three-strikes laws	in favor of	the three-strikes laws prevent rehabilitation for those who have committed minor offensives such as substance abuse treatment that can prevent future criminal acts.	0	1	0	0	0	1	0	0	0	1	6.0
6276	Homeopathy brings more harm than good	in favor of	study of over 100 trials, which proves that homeopathic treatment doesn't work and is no better than placebo	0	0	0	0	0	1	0	0	0	1	6.0
4994	We do not need immigration from non-European or non-first-world countries. 	against	I have no trouble with, non-western, immigrants.  I have trouble with 'mass immigration'.  What happens is when they come in large numbers they do not integrate anymore.  They stick to themselves and become a new tribe that tries to change their host country.'	0	0	1	0	0	1	0	0	1	0	6.0
7204	We should legalize non-violent drug offenses	in favor of	It's also important to remember that many people use these psychedelic medicines in the context of their own religious/spiritual practice, and therefore our draconic laws directly violate freedom of religion (and sovereignty over our own bodies). There's no way the EU should tolerate this if they really care about human rights.	0	0	1	0	0	1	1	0	1	1	6.0
4196	We should prohibit school prayer	in favor of	School prayer goes against the separation of the church and government. Prayers in schools only take us back to that time where we were subjugated by religious leaders.	0	0	0	0	0	0	1	0	1	1	6.0
