	Conclusion	Stance	Premise	Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-direction	Stimulation	Tradition	Universalism	Score
5554	We should abandon television	in favor of	i thinkwe should abandon television only social and educational	1	0	0	0	0	1	0	1	0	0	1.0
5434	Assisted suicide should be a criminal offence	against	if to a reasonable degree of medical certainty the medical condition of a person is irreversible, it must have the right to terminate his life by requesting assistance without consequences for the fact.	0	1	0	0	0	1	1	1	0	1	1.0
6457	We should abandon television	against	television can be shared by many, allowing to enjoy a show and foster discussion about topics that are being broadcast.	1	0	0	1	0	1	1	1	0	1	1.0
6134	We should abandon television	against	we don't need to abandon television just because some of the shows on it are garbage. there is still a lot of content that provides comedic relief or education that is hard to get from other technology	1	0	0	1	0	0	1	1	0	0	1.0
853	We should legalize prostitution	in favor of	When prostitution is illegal, prostitutes are defenseless, and are often harassed and abused.	0	0	0	0	0	1	1	1	0	0	1.0
6925	Consumerism brings more harm than good	against	The middle class benefited tremendously from consumerism. Increased job opportunities, wages, and cheaper goods helped raise their living standards tremendously. The new world order gave them hope that even they could have luxuries like the elite. Through business, they could climb up the social ladder.	1	0	0	0	0	1	0	1	0	0	1.0
462	We should abolish the right to keep and bear arms	against	the ability to keep and use firearms is instrumental in a person's ability to persue safety, life and liberty	0	1	0	0	0	1	1	1	1	1	1.0
1883	We should ban cosmetic surgery for minors	against	cosmetic surgery helps build self esteem	0	1	0	1	0	1	0	1	0	0	1.0
7073	We should improve migration policies 	in favor of	The only meaningful immigration is when there is a member country with a specific vacancy. That member will also be responsible for the integration (at a cost of Euro 167,000). The EU has only to administer the paperwork and supervise if matters spin out of control. 	0	1	0	0	1	0	0	1	0	0	1.0
5107	Public transport in EU cities should be free	in favor of	I think the EU should subsidies troubled cash-strapped cities to reduce ticket prices or completely remove any charges so that people are vivisected to hop on the bus rather than in the car. As I student, I would have been in the city center a lot more and spent money around the shops if I could afford the bus fair in the first place. 	0	0	0	0	1	1	1	1	0	0	1.0
5321	Every young European should be asked to go live in another country for 1 year at least	against	If young Europeans are living abroad they will feel racism on their own in the country they are living in. 	1	1	0	0	0	1	0	1	0	1	1.0
1960	We should cancel pride parades	against	everyone should have a chance to celebrate their culture, gay culture included.	0	1	0	0	0	1	1	1	0	1	1.0
