	Conclusion	Stance	Premise	Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-direction	Stimulation	Tradition	Universalism	Score
757	We should ban telemarketing	in favor of	telemarketing should be banned because it is disruptive to the course of the day for many people.	0	0	1	1	0	0	1	0	0	0	1.0
1713	We should end mandatory retirement	in favor of	mandatory retirement is age discrimination and shouldn't be allowed to happen.	0	0	1	0	0	0	1	0	0	1	1.0
5028	The president of the European Commission should be elected by the people of the EU	in favor of	Having leaders with great power across Europe that nobody directly voted for is of great concern. Unless the EU radically democratizes the presidency (creating the position which failed several referenda) as well as the commission, it will be used again and again to stoke anti-EU sentiment.	1	1	0	0	0	1	1	0	0	1	1.0
5183	We do not want immigration from non-European or non-first-world countries 	in favor of	No more non-European immigration. The native Europeans have said NO.	0	0	0	0	1	0	1	0	0	0	1.0
2247	We should limit judicial activism	against	every judge is trusted to give their own interpretation of the constitution; there is no way to prevent implicit biases from coming up in their decisions.	0	1	0	0	1	0	1	0	1	1	1.0
4535	We should ban the Church of Scientology	in favor of	we should ban the church of scientology because  scientologists become hostile toward anything that is critical toward the religion	0	0	1	0	0	1	1	0	0	0	1.0
2426	We should adopt atheism	against	the right to practice religion is a personal freedom that cannot be taken away as it is a source of comfort to many.	0	0	0	0	0	1	1	0	1	0	1.0
4028	We should subsidize embryonic stem cell research	in favor of	embryonic stem cell research could lead to the discovery of new medical treatments that would alleviate the suffering of many people	1	1	0	0	0	1	1	0	0	0	1.0
6235	Homeschooling should be banned	against	homeschooling helps kids learn better in an environment where they're comfortable.	1	1	0	0	0	1	1	0	0	0	1.0
1356	We should subsidize journalism	in favor of	every journalist should be able to report the news regardless of whether they have the monetary means to do so or not.	1	0	0	0	1	0	1	0	0	1	1.0
3048	We should ban the use of child actors	in favor of	children should be learning and playing, not working	0	1	0	1	0	0	1	0	0	0	1.0
1215	We should adopt atheism	in favor of	we should adopt atheism, there is not one piece of evidence for religion being fact, yet science is proven. religion is a manipulative tactic based on lies.	1	1	0	0	0	0	1	0	0	1	1.0
5595	The vow of celibacy should be abandoned	against	we live in a free and open society if people choose to be celibate then we should respect their choice.	0	0	1	0	0	0	1	0	1	1	1.0
4523	We should ban algorithmic trading	in favor of	algorithmic trading is computer based and does not allow for any type of inspiration in trading.	1	0	0	0	0	0	1	1	0	0	1.0
2206	We should ban the use of child actors	against	as long as there is proper protection for child actors there is no reason that they should not be able to perform on screen	1	0	1	0	0	0	1	0	0	1	1.0
187	We should ban cosmetic surgery for minors	against	We should not ban cosmetic surgery for minors because there are legitimate cases when it would improve a young person's mental health.	1	1	0	0	0	1	1	0	0	0	1.0
2741	We should ban human cloning	against	we should allow scientists to continue to try to clone humans.  just as medical treatments have progressed in the world who can predict what types of improvements in ending disease could occur.	1	0	0	0	0	1	1	0	0	1	1.0
555	We should abolish the three-strikes laws	in favor of	Three strikes laws reduce the power of judges and discretion in the court room, making judgments shallower.	0	1	0	0	1	1	1	0	0	1	1.0
