	Conclusion	Stance	Premise	Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-direction	Stimulation	Tradition	Universalism	Score
3975	We should ban targeted killing	in favor of	target killing is just another word for assassinations which are against international laws.	0	0	1	0	0	0	0	0	0	0	3.0
631	We should ban algorithmic trading	against	algorithmic trading allows for more timely, accurate, and efficient trading.	0	0	0	0	1	0	0	0	0	0	6.0
1647	We should adopt an austerity regime	against	We should not adopt an austerity regime because the global economy is now rapidly growing, and the recession is years behind us.	1	0	0	0	1	0	0	0	0	0	6.0
6365	We should abandon television	against	television is an important source of entertainment especially for older people	0	0	0	1	0	0	0	0	0	0	4.0
4950	We need Integrated migration and border policy.	against	 Refugees can obtain a visa at an Embassy in one of the 54 African countries. All other immigrants must be returned within a week of arrival.	0	0	1	0	1	0	0	0	0	0	3.0
4635	Artificial intelligence brings more harm than good	in favor of	We have started losing our basic human habits and instincts, and are actually governed by devices and apps.	1	0	1	0	1	0	0	0	0	0	3.0
3037	We should limit executive compensation	against	executive compensation is a way to reward and incentivize the top employees.	1	0	0	0	1	0	0	0	0	0	6.0
6657	We should abandon television	against	good television is an art form that can enrich our lives.	0	0	0	1	0	0	0	0	0	0	4.0
6781	Homeschooling should be banned	in favor of	it's not guaranteed homeschooling provides a good education	1	0	0	0	0	0	0	0	0	0	6.0
2318	We should adopt a multi-party system	against	they can lead to too much indecision	0	0	0	0	1	0	0	0	0	0	6.0
2953	We should legalize cannabis	in favor of	people buy cannabis regardless of whether it is legal or not, so we might as well tax it to make extra money	0	0	1	0	1	0	0	0	0	0	3.0
7013	We should support short-distance economies	in favor of	supporting short-distance economies can help kick off the development of localized small-scale economies.	1	0	0	0	1	0	0	0	0	0	6.0
6629	Intelligence tests bring more harm than good	against	intelligence tests helps to find out gifted kids	1	0	0	0	0	0	0	0	0	0	6.0
3365	We should subsidize space exploration	in favor of	space exploration is important for the development and growth of human society and knowledge and should be invested in by the government.	1	0	0	0	0	0	0	0	0	0	6.0
7171	We should support Frontex.	in favor of	Frontex is a key agency and is called to play a crucial role in the coming years. Yet, it lacks the necessary political support it deserves to carry out its mission. 	1	0	0	0	0	0	0	0	0	0	6.0
6889	The use of public defenders should be mandatory	in favor of	The use of public defenders should be mandatory because it would encourage more of the best law students to become public defenders, if they want to be defense attorneys.	1	0	0	0	0	0	0	0	0	0	6.0
2436	We should limit executive compensation	against	Executives put more of their time, effort and life to put their company at the top. This effort really merits to be recognized. Only through a high compensation is their efforts be recognized	0	0	0	0	1	0	0	0	0	0	6.0
6155	Assisted suicide should be a criminal offence	in favor of	assisting with suicide is helping kill someone, and should be treated as such. the intent of the victim doesn't matter, murder is murder.	0	0	1	0	0	0	0	0	0	0	3.0
3450	We should ban telemarketing	against	telemarketing is a vital tool for businesses to use to grow. this in turn helps the economy.	1	0	0	0	1	0	0	0	0	0	6.0
3005	We should ban missionary work	in favor of	missionary work sometimes forces religion on people	0	0	1	0	0	0	0	0	0	0	3.0
4826	British people who are residents in an EU country should have EU-wide rights	in favor of	I think this is a good idea, but unfortunately it's framed as a British/brexit issue. However, the wider concept of a common EU visa / migration system is a compelling one. Harmonising the system to a common visa regime offers many advantages.	1	0	0	0	0	0	0	0	0	0	6.0
648	We should abolish intellectual property rights	in favor of	intellectual property rights are expensive to maintain and hold back the spread of new ideas	1	0	0	0	0	0	0	0	0	0	6.0
5878	We should subsidize vocational education	against	The salaries of vocational school graduates are significantly less than those earned by college graduates with bachelors degrees. Better to subsidize 4-year colleges than vocational schools.	1	0	0	0	1	0	0	0	0	0	6.0
3932	We should end mandatory retirement	against	Older people should be forced to retire at a certain age because the world is steadily changed and their knowledge becomes outdated	1	0	0	0	0	0	0	0	0	0	6.0
2941	We should ban telemarketing	against	telemarketing is a good medium for businesses to use to expand their client base and make more people aware of their company and products, thus increasing their income	1	0	0	0	1	0	0	0	0	0	6.0
2689	We should abolish intellectual property rights	against	if someone invents something they should be able to profit from it	1	0	0	0	1	0	0	0	0	0	6.0
3571	We should ban private military companies	in favor of	only the federal government should be allowed to handle any military training.	0	0	0	0	1	0	0	0	0	0	6.0
2996	We should ban human cloning	in favor of	by copying something you can not get a pure copy.  each copy that is made is worse then the other meaning that no one knows what can happen with cloning.	1	0	0	0	0	0	0	0	0	0	6.0
4836	Frontex should regularly publish transparency reports	against	Frontex interfering with the national border guards doing their sacred duty to protect the border, and then sending anonymous reports to criticize these brave men and women is quite abhorrent. 	0	0	1	0	0	0	0	0	0	0	3.0
5051	The EU should synchronize national elections 	in favor of	Synchronizing national elections would allow European citizens to engage in major pan-European campaigns.	0	0	0	0	1	0	0	0	0	0	6.0
264	We should abandon the use of school uniform	against	researchers found that in schools across the world with uniform policies students are more disciplined and concentrated	0	0	1	0	0	0	0	0	0	0	3.0
653	We should oppose collectivism	in favor of	people should be encouraged to individuals	0	0	1	0	0	0	0	0	0	0	3.0
2430	We should ban algorithmic trading	against	Algorithmic trading makes it easier to stay ahead in the market and not get blindsided by a sudden crash.	1	0	0	0	0	0	0	0	0	0	6.0
3307	We should end the use of economic sanctions	against	economic sanctions help punish bad behavior	0	0	1	0	0	0	0	0	0	0	3.0
6031	The use of public defenders should be mandatory	against	if you have the financial means to employ the best defence, why shouldn't you be able to do that if it gives you a better chance of being found not guilty.	1	0	0	0	1	0	0	0	0	0	6.0
4323	We should limit judicial activism	against	we should not limit judicial activism because judges have better knowledge of the laws than juries do	1	0	0	0	1	0	0	0	0	0	6.0
5251	The EU should conclude an agreement with the United Kingdom and create together a European pillar of NATO	against	Forty years of UK membership in the European Union have clearly proven that it is not a good idea to conclude agreements with England.	1	0	0	0	0	0	0	0	0	0	6.0
5274	We need Integrated migration and border policy.	against	 Refugees can obtain a visa at an Embassy in one of the 54 African countries. All other immigrants must be returned within a week of arrival.	0	0	1	0	1	0	0	0	0	0	3.0
6604	Assisted suicide should be a criminal offence	in favor of	i think that an assisted suicide should be a criminal offence because is not legal	0	0	1	0	0	0	0	0	0	0	3.0
3353	We should limit executive compensation	against	executive compensation provides incentive for people to take on high responsibliity positions that drive the economy to new heights creating even more wealth.	1	0	0	0	1	0	0	0	0	0	6.0
3382	We should ban algorithmic trading	against	algorithmic trading makes getting orders out faster	1	0	0	0	0	0	0	0	0	0	6.0
7357	We should ease the education involution.	in favor of	The overall test-taking ability of students has improved, but the top stream universities and other quality educational resources have not increased proportionally.	1	0	0	0	0	0	0	0	0	0	6.0
1942	We should limit executive compensation	against	pay is the primary motivational factor for executive level employees, thus executive compensation should not be capped as it would affect their performance.	1	0	0	0	1	0	0	0	0	0	6.0
1067	We should ban telemarketing	against	telemarketing allows small businesses to save money by reducing overhead costs.	1	0	0	0	1	0	0	0	0	0	6.0
4780	Aadhaar should be made mandatory in India	in favor of	Reduction of complexity in filling ITR's:	1	0	0	0	0	0	0	0	0	0	6.0
7313	We should restrict minors from playing online games.	in favor of	Many teenagers in China use electronic devices to play games as the only entertainment after study. At the same time, the same kind of people in Europe and the United States choose more diverse ways.	1	0	1	1	0	0	0	0	0	0	3.0
1614	We should limit executive compensation	against	executives are the primary reason a company is successful or not.  their pay is usually justifiable.	1	0	0	0	1	0	0	0	0	0	6.0
658	We should ban telemarketing	against	telemarketing is very economical and it provides an easy way for companies to offer their products and services to people.  telemarketers are merely asking whether someone wants something or not.	0	0	1	0	0	0	0	0	0	0	3.0
5493	Homeschooling should be banned	in favor of	homeschooling may not be covering core topics or at least not to an adequate level	1	0	0	0	0	0	0	0	0	0	6.0
3585	We should introduce compulsory voting	in favor of	compulsory voting would ensure that everyone would vote and have a voice in what goes on.	0	0	0	0	1	0	0	0	0	0	6.0
4623	IT recruiters should consider skills instead of a degree in programming	against	Even though the new programming languages are replacing the old ones, the basic concepts are the same for almost all the programming languages. So, the one who has a degree in coding will have an advantage over the student from a non-IT background.	1	0	0	0	0	0	0	0	0	0	6.0
6764	Payday loans should be banned	in favor of	this type of loans is not allowed by state law or because the lenders decided not to do business on the interest rate and the allowable installments in those states.	0	0	1	0	0	0	0	0	0	0	3.0
107	We should subsidize space exploration	in favor of	there is so much more to explore and learn about space that subsidising space exploration would bring us closer to learning and understanding what is beyond our planet.	1	0	0	0	0	0	0	0	0	0	6.0
4862	The EU needs strong advertising and recruitment strategies for students and qualified employees	in favor of	Compared to most anglophone countries, Europe has been quite timid in attracting talent across the globe. Too few people know of and make use of the EU Blue Card. The EU is a destination of choice for migration and refugees from developing and some neighboring countries.	1	0	0	0	0	0	0	0	0	0	6.0
4733	Women are better managers than men	in favor of	In general, they've coherent minds, are punctual and are dedicated to their work. These inbuilt qualities do make them better managers than men.	1	0	0	0	0	0	0	0	0	0	6.0
3247	We should ban algorithmic trading	against	algorithmic trading is the future of investing and can lead to a more prosperous economy in the long run.	1	0	0	0	1	0	0	0	0	0	6.0
