	Conclusion	Stance	Premise	Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-direction	Stimulation	Tradition	Universalism	Score
55	We should adopt gender-neutral language	against	we should not adopt gender neutral language because were created as male and female	0	0	0	0	0	0	0	0	1	0	3.5
6452	The vow of celibacy should be abandoned	against	The vow of celibacy should not be abandoned as religious people have lived this way for a long time and their traditions should be respected.	0	0	0	0	0	0	0	0	1	0	3.5
5625	The vow of celibacy should be abandoned	against	it is the bedrock of catholisism that priests are celibate and to abandon this would be expecting catholics to rethink or abandon their beliefs to their detriment.	0	0	0	0	0	0	0	0	1	0	3.5
78	We should subsidize embryonic stem cell research	against	this research is very controversial and against many religions	0	0	0	0	0	0	0	0	1	0	3.5
3781	We should ban whaling	against	Whaling is an important cultural practice for the Japanese. Rather than banning it, it should be regulated.	0	0	0	0	0	0	0	0	1	0	3.5
2233	We should prohibit school prayer	against	thats what is wrong with the schools today, they took god out.	0	0	0	0	0	0	0	0	1	0	3.5
4081	We should subsidize embryonic stem cell research	against	we should not subsidize embryonic stem cell research. we should not play god.	0	0	0	0	0	0	0	0	1	0	3.5
1623	We should legalize sex selection	against	legalizing the selection of sex goes against the moral and natural principles of society	0	0	0	0	0	0	0	0	1	0	3.5
6962	Hindi should be the national language of India	in favor of	English is not native to India, but Hindi is.	0	0	0	0	0	0	0	0	1	0	3.5
5904	The vow of celibacy should be abandoned	against	the vow of celibacy should not be abandoned because it is a centuries old practice that is considered sacred and holy.	0	0	0	0	0	0	0	0	1	0	3.5
4262	We should adopt gender-neutral language	against	we need to stop changing everything to conform to the few people who are offended.	0	0	0	0	0	0	0	0	1	0	3.5
444	We should adopt gender-neutral language	against	we should not adopt gender-neutral language because no reason to change the way people have been speaking for hundreds of years	0	0	0	0	0	0	0	0	1	0	3.5
3842	We should subsidize embryonic stem cell research	against	embryonic sten cell research goes against a variety of christian religious beliefs and should not be subsidized.	0	0	0	0	0	0	0	0	1	0	3.5
6989	Women can be in combat roles	against	There are no much facilities and infrastructure in Indian Army to allow women in combat roles.	0	0	0	0	0	0	0	0	1	0	3.5
2079	We should adopt atheism	against	we should not adopt atheism because it is not a religion	0	0	0	0	0	0	0	0	1	0	3.5
4149	We should ban the Church of Scientology	against	we shouldn't ban the church of scientology because the religion rigths	0	0	0	0	0	0	0	0	1	0	3.5
